date,week,country,cases,death,temp,humidity,population,lat,long,prev_cases,prev_death,prev_cases2,prev_death2,school_closing,workplace_closing,cancel_public_event,rest_on_gathering,close_public_transp,stay_at_home,movement_rest,intern_travel
2021/01/25,57,DK,3696,137,0,89,137,55.676098,12.568337,5426,222,7236,205,300,300,200,400,0,100,0,400
2021/01/25,57,NO,2010,19,-11.4,90.4,15,59.911491,10.757933,2831,27,3942,46,200,300,200,400,0,100,100,200
2021/01/25,57,FI,2537,23,-1.7,94.6,18,60.192059,24.945831,2233,30,1709,32,200,200,200,400,0,100,100,200
2021/02/01,58,SE,20122,303,-7.5,91.1,25,59.334591,18.063240,20323,407,23131,542,200,200,200,400,100,100,100,300
2021/02/01,58,DK,3047,109,-1.9,84.1,137,55.676098,12.568337,3696,137,5426,222,300,300,200,400,0,100,0,400
2021/02/01,58,NO,1909,19,-12,84.4,15,59.911491,10.757933,2010,19,2831,27,200,200,200,400,100,100,100,300
2021/02/01,58,FI,2391,24,-10.9,88.9,18,60.192059,24.945831,2537,23,2233,30,200,200,200,400,0,100,0,300
2021/02/08,59,SE,20651,212,-8.1,84.5,25,59.334591,18.063240,20122,303,20323,407,200,200,200,400,100,100,100,300
2021/02/08,59,DK,2729,69,-3.8,72,137,55.676098,12.568337,3047,109,3696,137,200,300,200,400,0,100,0,400
2021/02/08,59,NO,1753,10,-11.3,73.8,15,59.911491,10.757933,1909,19,2010,19,200,200,200,400,0,100,100,300
2021/02/08,59,FI,2745,15,-12.2,87.7,18,60.192059,24.945831,2391,24,2537,23,200,200,200,400,0,100,0,300
2021/02/15,60,SE,23220,174,-2.3,83.3,25,59.334591,18.063240,20651,212,20122,303,200,200,200,400,100,100,100,300
2021/02/15,60,DK,3180,49,0.7,91.6,137,55.676098,12.568337,2729,69,3047,109,200,300,200,400,0,100,0,400
2021/02/15,60,NO,1871,15,-5.5,92.3,15,59.911491,10.757933,1753,10,1909,19,200,200,200,400,100,100,100,300
2021/02/15,60,FI,3278,16,-9.6,84.1,18,60.192059,24.945831,2745,15,2391,24,200,200,200,400,0,100,0,300
2021/02/22,61,SE,26724,151,5,87.1,25,59.334591,18.063240,23220,174,20651,212,200,200,200,400,100,100,100,300
2021/02/22,61,DK,3691,25,5.9,86.6,137,55.676098,12.568337,3180,49,2729,69,200,200,200,400,0,100,0,400
2021/02/22,61,NO,1927,15,2.2,91.5,15,59.911491,10.757933,1871,15,1753,10,100,200,200,400,0,100,100,300
2021/02/22,61,FI,3122,16,-1.2,91.9,18,60.192059,24.945831,3278,16,2745,15,200,200,200,400,0,100,0,300
2021/03/01,62,SE,27201,142,2.2,72.1,25,59.334591,18.063240,26724,151,23220,174,200,200,200,400,100,100,100,300
2021/03/01,62,DK,3578,19,2.3,86.3,137,55.676098,12.568337,3691,25,3180,49,200,200,200,400,0,100,0,400
2021/03/01,62,NO,3459,10,1.8,64.1,15,59.911491,10.757933,1927,15,1871,15,100,300,200,400,100,100,100,300
2021/03/01,62,FI,5656,25,0.1,75.9,18,60.192059,24.945831,3122,16,3278,16,200,200,200,400,0,100,0,300
2021/03/08,63,SE,28477,127,-0.2,75.7,25,59.334591,18.063240,27201,142,26724,151,200,200,200,400,100,100,100,300
2021/03/08,63,DK,4365,13,2.5,78,137,55.676098,12.568337,3578,19,3691,25,200,200,200,400,0,100,0,400
2021/03/08,63,NO,4547,7,-1,75.2,15,59.911491,10.757933,3459,10,1927,15,100,300,200,400,100,100,100,300
